estado,municipio,businesses,employees,Payroll,expenditures,income,payroll_employee_day,profits_biz_day,sales_employee_day,employees_unit
Chiapas,Totolapa,118,521,0.332720643,23.97862873,33.50248581,1.773942434,216.3638521,178.622765,4.415254237
Chiapas,Tumbala,112,441,2.785779201,56.52626071,87.86005286,17.54711011,708.0360356,553.4142911,3.9375
Chiapas,Tuxtla Chico,208,881,4.597594338,246.3687155,347.7587292,14.49613551,1292.633806,1096.477265,4.235576923
Chiapas,Tuxtla Gutierrez,13792,124382,3428.223441,94805.50182,118908.5298,76.56126201,4164.009036,2655.540767,9.018416473
Chiapas,Tuzantan,79,277,1.938853928,67.15474081,98.06311286,19.44297963,1018.618781,983.3846055,3.506329114
Chiapas,Tzimol,122,420,1.518416025,30.15705929,37.92558548,10.04243403,142.3066978,250.8305918,3.442622951
Chiapas,Union Juarez,124,576,0.362967974,38.47090611,50.25040307,1.750424258,255.746617,242.3341198,4.64516129
Chiapas,Venustiano Carranza,1032,5367,34.21275629,1013.560294,1415.225614,17.70736615,989.0519043,732.4729385,5.200581395
Chiapas,Villa Comaltitlan,315,1537,7.628376922,320.3731913,396.4194769,13.78655556,603.3325285,716.438005,4.879365079
Chiapas,Villa Corzo,1223,5745,49.05814643,1142.122681,1469.779394,23.72021392,632.7758839,710.6563165,4.697465249
Chiapas,Villaflores,2094,11714,175.5615596,4014.473226,5183.829585,41.63146653,1318.309987,1229.257865,5.594078319
Chiapas,Yajalon,645,3959,52.18572047,1226.382015,1650.451376,36.61539143,1601.566064,1158.016457,6.137984496
Chiapas,Zinacantan,166,876,1.004211395,38.46483096,62.05974664,3.184333444,378.0238334,196.7901657,5.277108434
Chihuahua,Ahumada,106,866,24.33479191,647.44527,784.9160801,78.05617112,2964.780351,2517.693354,8.169811321
Chihuahua,Aldama,190,1239,11.18396856,468.6044622,585.041195,25.0739139,1538.783103,1311.633923,6.521052632
Chihuahua,Allende,66,343,5.036173822,149.8528481,189.0173842,40.78534031,1436.378886,1530.753031,5.196969697
Chihuahua,Aquiles Serdan,10,45,0.109880156,7.239139665,9.265706441,6.782725686,532.4129501,571.9571877,4.5
Chihuahua,Ascension,175,1285,32.1216323,968.5253895,1177.148343,69.43716451,2801.608267,2544.635414,7.342857143
Chihuahua,Bachiniva,26,160,5.545285212,418.889423,464.6954854,96.27231271,4301.365085,8067.629955,6.153846154
Chihuahua,Balleza,50,305,5.406103681,214.2828819,268.0067118,49.23591695,2684.318121,2440.862584,6.1
Chihuahua,Batopilas,15,98,0.172145578,19.83818955,27.80720994,4.879409805,1443.865706,788.1862227,6.533333333
Chihuahua,Bocoyna,247,1586,24.18828503,909.0035745,1093.128844,42.36423748,1798.661543,1914.545404,6.421052632
Chihuahua,Buenaventura,197,1558,33.46766422,658.4887623,819.9506924,59.66991908,1804.769682,1461.900393,7.908629442
Chihuahua,Camargo,638,4676,116.9253055,3471.808774,4364.034214,69.45947715,3375.56659,2592.454504,7.329153605
Chihuahua,Carichi,30,148,2.082228958,66.73921553,84.64007147,39.08087384,1464.687684,1588.58993,4.933333333
Chihuahua,Casas Grandes,36,251,3.679153894,175.4615764,198.4975162,40.71662122,1493.579162,2196.740994,6.972222222
Chihuahua,Chihuahua,7417,94870,3814.658102,128331.2506,151706.5135,111.692553,7325.739971,4441.941414,12.7908858
Chihuahua,Chinipas,17,114,0.653786929,36.78265559,50.73813059,15.93048072,2173.478442,1236.309225,6.705882353
Chihuahua,Coronado,21,83,0.162988898,18.95413045,25.66547709,5.454782404,866.1848862,858.9517097,3.952380952
Chihuahua,Coyame del Sotol,11,65,0.494460703,10.71015858,13.60971583,21.13079925,607.3476126,581.6117877,5.909090909
Chihuahua,Cuauhtemoc,1613,15785,577.5392572,16812.10839,20070.96311,101.6329246,4617.544017,3532.003504,9.786112833
Chihuahua,Cusihuiriachi,3,14,0.025638703,1.72463988,2.096325089,5.087044265,320.4134315,415.9375177,4.666666667
Chihuahua,Delicias,1713,16478,595.4863494,15885.48402,19390.68418,100.3840726,4718.352798,3268.783323,9.619381203
Chihuahua,Dr. Belisario Dominguez,5,26,0.106217484,4.248797688,5.262255278,11.34802182,504.0222811,562.2067605,5.2
Chihuahua,El Tule,11,65,0.135518859,26.39375346,44.1136424,5.79140424,4440.497495,1885.198393,5.909090909
Chihuahua,Estatal,27718,291210,10528.71473,328372.095,389344.0715,100.4307194,5055.204973,3713.853609,10.50616928
Chihuahua,Galeana,5,27,0.221591648,5.710152208,9.747533267,22.79749467,2119.883006,1002.832641,5.4
Chihuahua,Gomez Farias,68,466,10.88179813,171.9760647,213.7368662,64.86527257,1261.397198,1274.063342,6.852941176
Chihuahua,Gran Morelos,11,45,0.256387031,17.50002231,19.94409886,15.82635993,552.4468483,1231.117214,4.090909091
Chihuahua,Guachochi,238,1504,27.63485926,890.6967878,1125.269973,51.03955981,2415.246563,2078.291173,6.319327731
Chihuahua,Guadalupe,46,369,10.44044617,165.5436893,220.444602,78.59414459,2684.810778,1659.474571,8.02173913
Chihuahua,Guadalupe y Calvo,127,824,8.013926053,285.0849046,366.4406528,27.01566226,1604.151841,1235.30425,6.488188976
Chihuahua,Guazapares,30,199,2.503436223,68.22714013,79.85964302,34.9446709,845.2839504,1114.735386,6.633333333
Chihuahua,Guerrero,296,2299,41.95407494,1625.006903,1882.335958,50.69121229,2021.161598,2274.34145,7.766891892
Chihuahua,Hidalgo del Parral,1525,14463,508.3422289,18236.64644,21341.79524,97.63270047,4730.066606,4098.925848,9.483934426
